,by,descendants,id,kids,score,time,title,type,url
0,tosh,146.0,41442490,"[41443073, 41442843, 41442748, 41442723, 41443221, 41442729, 41442759, 41443161, 41443171, 41442932, 41443155, 41442718, 41442869, 41442830, 41443101, 41442706, 41442981, 41442972, 41442780, 41442973, 41442691, 41443105, 41442632, 41442645, 41442895, 41442742, 41443089, 41443021, 41442738, 41442762, 41442873, 41442833, 41443025, 41442696, 41442805, 41442828, 41442986, 41442697, 41442812, 41443003, 41442786, 41442606, 41442846, 41442722, 41442906, 41442652, 41442864, 41442597, 41442680, 41442784, 41442837]",157,1725431271,State of S3 – Your Laptop is no Laptop anymore – a personal Rant,story,https://blog.jeujeus.de/blog/hardware/laptops-will-not-sleep-anymore/
1,GTP,200.0,41434500,"[41437728, 41438149, 41440361, 41440291, 41439176, 41437630, 41438457, 41438274, 41442495, 41438069, 41437692, 41438158, 41441483, 41440822, 41437620, 41442580, 41442743, 41442215, 41438645, 41442458, 41440108, 41439079, 41437672, 41442361, 41439483, 41442412, 41442409, 41440900, 41442381, 41438264, 41439814, 41442309, 41438196, 41438816, 41440538, 41437628, 41437900, 41437685, 41437575, 41434525, 41441789]",532,1725368087,EUCLEAK Side-Channel Attack on the YubiKey 5 Series,story,https://ninjalab.io/eucleak/
2,l0b0,2.0,41442423,"[41443196, 41442998, 41443154]",31,1725430258,Interactive NixOS Tests,story,https://paperless.blog/interactive-nixos-tests
3,icaruswept,51.0,41417542,"[41443205, 41441269, 41442052, 41442168, 41440703, 41442269, 41442224, 41441182, 41442279, 41417543, 41441386, 41441767, 41441253, 41441845, 41441128, 41440694, 41441857, 41440933]",196,1725203150,We built the city of Colombo in Cities:Skylines,story,https://github.com/team-watchdog/colombo-skylines
4,harperlee,10.0,41432257,"[41441172, 41442377, 41441039, 41442205, 41442612]",106,1725348496,Keeping CALM: When distributed consistency is easy (2019),story,https://arxiv.org/abs/1901.01930
5,ea016,,41442655,,1,1725433223,"Photoroom (YC S20) Is Hiring a Django Back End Lead in Paris (PostgreSQL, REST)",job,https://jobs.ashbyhq.com/photoroom/ddf2ab84-6e90-4026-9622-6e92cb96722f
6,pseudolus,7.0,41440842,"[41441010, 41442839, 41442484, 41442573, 41442776]",58,1725411551,Faster Integer Programming,story,https://cacm.acm.org/news/faster-integer-programming/
7,sayonidroy,22.0,41441990,"[41442471, 41441991, 41442526, 41442593, 41442481, 41442822]",23,1725425141,Simplifying programming with AI-tutors,story,https://www.edmigo.in/
8,Sean-Der,34.0,41424954,"[41441909, 41442394, 41442527, 41432258, 41442989, 41442562]",71,1725281207,Show HN: OBS Live-streaming with 120ms latency,story,https://github.com/Glimesh/broadcast-box
9,samdung,54.0,41436158,"[41438427, 41439994, 41436781, 41443022, 41440979, 41440817, 41437208, 41436606, 41437190, 41441055, 41439923, 41441045, 41441259, 41437871, 41436598, 41437346, 41437590, 41437721, 41438670, 41436477, 41437725, 41437084, 41436752, 41436502]",196,1725378877,Chromatone – Visual Music Language,story,https://chromatone.center/
